WARNING 2025-11-16 00:23:24,858 log Not Found: /api/api/departments/
WARNING 2025-11-16 00:23:24,859 basehttp "GET /api/api/cities/ HTTP/1.1" 404 10833
WARNING 2025-11-16 00:23:24,860 basehttp "GET /api/api/departments/ HTTP/1.1" 404 10848
WARNING 2025-11-16 00:23:30,025 log Not Found: /api/api/departments/
WARNING 2025-11-16 00:23:30,028 log Not Found: /api/api/ticket-types/
WARNING 2025-11-16 00:23:30,032 log Not Found: /api/api/cities/
WARNING 2025-11-16 00:23:30,034 basehttp "GET /api/api/cities/ HTTP/1.1" 404 10833
WARNING 2025-11-16 00:23:30,034 basehttp "GET /api/api/departments/ HTTP/1.1" 404 10848
WARNING 2025-11-16 00:23:30,034 basehttp "GET /api/api/ticket-types/ HTTP/1.1" 404 10851
WARNING 2025-11-16 00:23:30,042 log Not Found: /api/api/departments/
WARNING 2025-11-16 00:23:30,046 log Not Found: /api/api/ticket-types/
WARNING 2025-11-16 00:23:30,050 log Not Found: /api/api/cities/
WARNING 2025-11-16 00:23:30,051 basehttp "GET /api/api/departments/ HTTP/1.1" 404 10848
WARNING 2025-11-16 00:23:30,051 basehttp "GET /api/api/ticket-types/ HTTP/1.1" 404 10851
WARNING 2025-11-16 00:23:30,052 basehttp "GET /api/api/cities/ HTTP/1.1" 404 10833
INFO 2025-11-16 00:24:25,270 basehttp "OPTIONS /api/departments/ HTTP/1.1" 200 0
INFO 2025-11-16 00:24:25,270 basehttp "OPTIONS /api/departments/ HTTP/1.1" 200 0
INFO 2025-11-16 00:24:25,270 basehttp "OPTIONS /api/cities/ HTTP/1.1" 200 0
INFO 2025-11-16 00:24:25,270 basehttp "OPTIONS /api/cities/ HTTP/1.1" 200 0
INFO 2025-11-16 00:24:25,340 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 00:24:25,351 basehttp "GET /api/cities/ HTTP/1.1" 200 1380
INFO 2025-11-16 00:24:25,359 basehttp "GET /api/departments/ HTTP/1.1" 200 906
INFO 2025-11-16 00:24:25,400 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 00:24:25,413 basehttp "GET /api/cities/ HTTP/1.1" 200 1380
INFO 2025-11-16 00:24:25,420 basehttp "GET /api/departments/ HTTP/1.1" 200 906
INFO 2025-11-16 00:26:53,418 basehttp "OPTIONS /api/events/ HTTP/1.1" 200 0
WARNING 2025-11-16 00:26:53,583 log Bad Request: /api/events/
WARNING 2025-11-16 00:26:53,583 basehttp "POST /api/events/ HTTP/1.1" 400 79
WARNING 2025-11-16 00:27:54,936 log Bad Request: /api/events/
